,Fire Intensity,Dates
0,62.17028715194243,2020-10-01
1,15.453073545530117,2020-10-02
2,84.31734220790264,2020-10-03
3,35.59910810606635,2020-10-04
4,-11.448706124642683,2020-10-05
5,6.452678129497201,2020-10-06
6,-14.889214221764007,2020-10-07
7,54.45534966347856,2020-10-08
8,-13.095983030883119,2020-10-09
9,-14.226463987372696,2020-10-10
10,93.09889882815942,2020-10-11
11,24.37115353166901,2020-10-12
12,83.63098120686807,2020-10-13
13,22.57050672712201,2020-10-14
14,108.58393253038487,2020-10-15
15,8.687232252822653,2020-10-16
16,66.90161461900875,2020-10-17
17,33.00047947916137,2020-10-18
18,70.47305490154629,2020-10-19
19,-6.707821365967035,2020-10-20
20,48.990646467556374,2020-10-21
21,26.069832243642352,2020-10-22
22,47.22549599992505,2020-10-23
23,42.83535367180679,2020-10-24
24,21.7493142103096,2020-10-25
25,99.7513949523331,2020-10-26
26,44.731888874887154,2020-10-27
27,43.519676148620256,2020-10-28
28,-1.1736663637489642,2020-10-29
29,30.509181828577148,2020-10-30
