,Fire Intensity,Dates
0,544.6826569311688,2020-10-01
1,-4.040421465917461,2020-10-02
2,2.356015244434275,2020-10-03
3,-8.119813741450344,2020-10-04
4,125.08025347710281,2020-10-05
5,-57.57945359542782,2020-10-06
6,-53.18515338106181,2020-10-07
7,-59.817966260670346,2020-10-08
8,22.166366346338236,2020-10-09
9,50.9217954081555,2020-10-10
10,35.409666752519115,2020-10-11
11,10.178766624026593,2020-10-12
12,125.63910333500439,2020-10-13
13,87.2611790977005,2020-10-14
14,519.9298311468026,2020-10-15
15,377.8744037581148,2020-10-16
16,378.87232705597603,2020-10-17
17,365.2691958288292,2020-10-18
18,77.66707993866362,2020-10-19
19,311.71721947639,2020-10-20
20,265.17023874178903,2020-10-21
21,9.822766715322814,2020-10-22
22,8.869494624632807,2020-10-23
23,-5.9908811352670455,2020-10-24
24,3.367851570421408,2020-10-25
25,9.78817112053639,2020-10-26
26,-15.754234937503043,2020-10-27
27,8.040019056039,2020-10-28
28,-2.8366114721384292,2020-10-29
29,90.73012295818353,2020-10-30
30,117.9138289723519,2020-10-31
31,107.32854136889682,2020-11-01
32,94.9146195629362,2020-11-02
33,84.42302975718917,2020-11-03
34,111.99035436026952,2020-11-04
35,56.69543485204349,2020-11-05
36,225.86394131166753,2020-11-06
37,288.55566845951444,2020-11-07
38,109.09458487180314,2020-11-08
39,156.90464731698944,2020-11-09
40,18.30877091792354,2020-11-10
41,12.878750294657948,2020-11-11
42,125.79555583201841,2020-11-12
43,55.740637313058414,2020-11-13
44,-3.767581731237442,2020-11-14
45,28.75286832839606,2020-11-15
46,27.407692665184868,2020-11-16
47,36.26956499021571,2020-11-17
48,32.15049218977333,2020-11-18
49,17.71783838982992,2020-11-19
50,57.005750036112204,2020-11-20
51,19.129351226521976,2020-11-21
52,58.166012626584234,2020-11-22
53,39.763198512549025,2020-11-23
54,-27.586748922661172,2020-11-24
55,-43.065532464722764,2020-11-25
56,-31.336559439764187,2020-11-26
57,35.755547156830744,2020-11-27
58,9.015438268768776,2020-11-28
59,31.33097999877714,2020-11-29
60,1.5642041632918335,2020-11-30
