,Unnamed: 0,Dates,Temperature,Wind Speed,Precipitation,Pressure,Heat Index
131,131,2015-07-10,17,6,0.0,1009,25
132,132,2015-07-11,17,10,0.0,1011,24
133,133,2015-07-12,18,8,0.0,1015,25
134,134,2015-07-13,17,5,0.0,1017,25
135,135,2015-07-14,17,8,0.0,1015,25
136,136,2015-07-15,17,4,0.0,1016,25
137,137,2015-07-16,17,7,0.1,1019,25
138,138,2015-07-17,17,13,0.0,1017,25
139,139,2015-07-18,20,9,0.0,1015,28
140,140,2015-07-19,23,7,0.0,1015,30
141,141,2015-07-20,18,14,0.0,1016,25
142,142,2015-07-21,17,9,0.0,1013,20
143,143,2015-07-22,16,6,0.0,1012,24
144,144,2015-07-23,17,1,0.0,1015,20
145,145,2015-07-24,16,12,0.0,1018,20
146,146,2015-07-25,16,4,0.0,1018,19
147,147,2015-07-26,14,1,0.9,1016,18
148,148,2015-07-27,15,4,0.0,1021,24
149,149,2015-07-28,17,8,0.0,1023,26
150,150,2015-07-29,20,11,0.0,1020,27
151,151,2015-07-30,21,10,0.0,1018,31
152,152,2015-07-31,21,4,0.0,1017,33
153,153,2015-08-01,20,8,0.0,1014,28
154,154,2015-08-02,20,4,0.0,1013,28
155,155,2015-08-03,19,6,0.0,1012,27
156,156,2015-08-04,17,8,0.0,1014,25
157,157,2015-08-05,15,9,0.0,1017,21
158,158,2015-08-06,16,7,0.0,1018,24
159,159,2015-08-07,17,6,0.0,1013,26
160,160,2015-08-08,17,14,0.0,1011,25
161,161,2015-08-09,18,6,0.0,1014,27
162,162,2015-08-10,19,8,0.0,1013,27
163,163,2015-08-11,19,17,0.1,1013,26
164,164,2015-08-12,20,2,0.0,1013,27
165,165,2015-08-13,19,4,0.0,1014,30
166,166,2015-08-14,15,16,0.8,1015,17
167,167,2015-08-15,16,4,0.0,1023,20
168,168,2015-08-16,16,9,0.0,1022,26
169,169,2015-08-17,17,9,0.0,1018,25
170,170,2015-08-18,19,13,0.0,1016,27
171,171,2015-08-19,20,4,0.0,1011,32
172,172,2015-08-20,16,13,0.0,1012,20
173,173,2015-08-21,15,4,0.0,1015,19
174,174,2015-08-22,17,6,0.0,1018,26
175,175,2015-08-23,17,4,0.0,1014,25
176,176,2015-08-24,15,6,0.0,1016,25
177,177,2015-08-25,15,7,0.0,1016,25
178,178,2015-08-26,17,5,0.0,1015,26
179,179,2015-08-27,18,5,0.0,1016,26
180,180,2015-08-28,17,9,0.0,1013,20
181,181,2015-08-29,16,28,0.0,1005,17
182,182,2015-08-30,15,18,0.0,1013,19
183,183,2015-08-31,14,18,0.1,1014,15
184,184,2015-09-01,15,6,0.0,1018,23
185,185,2015-09-02,13,12,0.0,1011,18
186,186,2015-09-03,12,8,0.0,1014,19
187,187,2015-09-04,15,8,0.0,1017,24
188,188,2015-09-05,16,9,0.1,1016,23
189,189,2015-09-06,13,6,0.0,1020,14
190,190,2015-09-07,13,4,0.0,1022,16
191,191,2015-09-08,16,5,0.0,1019,20
192,192,2015-09-09,16,6,0.0,1017,25
193,193,2015-09-10,16,12,0.0,1018,25
194,194,2015-09-11,18,9,0.0,1017,27
195,195,2015-09-12,17,6,0.0,1014,28
196,196,2015-09-13,14,9,0.0,1012,19
197,197,2015-09-14,12,7,0.0,1008,16
198,198,2015-09-15,12,11,0.0,1009,17
199,199,2015-09-16,15,9,0.0,1015,22
200,200,2015-09-17,15,9,0.0,1014,21
201,201,2015-09-18,15,8,0.0,1014,22
202,202,2015-09-19,14,8,0.0,1015,22
203,203,2015-09-20,15,21,0.0,1011,18
204,204,2015-09-21,13,5,0.0,1016,24
205,205,2015-09-22,11,5,0.0,1014,24
206,206,2015-09-23,12,7,0.0,1016,19
207,207,2015-09-24,15,12,0.0,1015,24
208,208,2015-09-25,12,7,0.0,1016,14
209,209,2015-09-26,11,4,0.1,1020,18
210,210,2015-09-27,10,13,0.0,1020,17
211,211,2015-09-28,12,13,0.0,1016,20
212,212,2015-09-29,13,6,0.0,1013,25
213,213,2015-09-30,11,4,0.0,1015,25
214,214,2015-10-01,12,6,0.0,1016,20
215,215,2015-10-02,12,10,0.0,1019,15
216,216,2015-10-03,12,15,0.0,1017,17
217,217,2015-10-04,13,11,0.0,1012,21
218,218,2015-10-05,15,5,0.0,1012,25
219,219,2015-10-06,14,12,0.0,1016,20
220,220,2015-10-07,13,10,0.0,1020,14
221,221,2015-10-08,15,3,0.0,1020,19
222,222,2015-10-09,14,9,0.0,1015,14
223,223,2015-10-10,15,28,0.0,1003,17
224,224,2015-10-11,12,4,0.0,1020,18
225,225,2015-10-12,13,12,0.0,1018,15
226,226,2015-10-13,12,7,0.0,1023,15
227,227,2015-10-14,10,14,0.0,1022,15
228,228,2015-10-15,13,9,0.0,1018,20
229,229,2015-10-16,13,4,0.0,1013,21
230,230,2015-10-17,13,5,0.0,1011,18
231,231,2015-10-18,13,6,0.0,1016,14
232,232,2015-10-19,14,9,0.0,1014,17
233,233,2015-10-20,11,5,0.0,1023,18
234,234,2015-10-21,10,7,0.0,1020,17
235,235,2015-10-22,10,6,0.0,1024,15
236,236,2015-10-23,7,5,0.0,1021,8
237,237,2015-10-24,9,7,0.0,1017,15
238,238,2015-10-25,12,5,0.0,1007,18
239,239,2015-10-26,11,14,0.0,1015,11
240,240,2015-10-27,11,3,0.0,1016,20
241,241,2015-10-28,11,13,0.0,1015,11
242,242,2015-10-29,13,15,0.0,1017,15
243,243,2015-10-30,13,23,0.0,1006,15
244,244,2015-10-31,12,22,0.0,1004,12
245,245,2015-11-01,10,29,0.0,1007,11
246,246,2015-11-02,8,5,0.1,1012,11
247,247,2015-11-03,5,10,0.0,1017,10
248,248,2015-11-04,5,7,0.0,1020,10
249,249,2015-11-05,8,3,0.0,1021,10
250,250,2015-11-06,9,12,0.1,1025,13
