,Dates,"Los Angeles, CA","San Francisco, CA","Phoenix, AZ"
0,2020-10-01,74.6727545116982,56.875007908270156,62.17028715194243
1,2020-10-02,76.78277476256163,23.05961323887232,15.453073545530113
2,2020-10-03,75.72511395183345,58.30169361003528,84.31734220790264
3,2020-10-04,72.08296260777745,41.38973007382288,35.59910810606635
4,2020-10-05,69.53539037816682,37.95285943016097,-11.448706124642685
5,2020-10-06,79.02999566281504,53.47831435857006,6.452678129497201
6,2020-10-07,80.56301434630086,18.261467039314766,-14.889214221764009
7,2020-10-08,73.66603582359177,46.62433392742128,54.455349663478565
8,2020-10-09,66.68794022567852,43.2554033580152,-13.095983030883119
9,2020-10-10,62.848122167038575,41.26818748908022,-14.226463987372696
10,2020-10-11,72.73014576355502,61.13798501035535,93.09889882815943
11,2020-10-12,82.5930358744907,42.59231440655253,24.371153531669012
12,2020-10-13,88.56579127652218,46.01803965793374,83.63098120686807
13,2020-10-14,76.33003345485844,112.53223520646476,22.570506727122012
14,2020-10-15,82.0297059938137,40.11691185097106,108.58393253038489
15,2020-10-16,82.65133923395354,38.56394270842742,8.687232252822652
16,2020-10-17,78.13819929617205,50.24276839946356,66.90161461900875
17,2020-10-18,82.50464880684484,48.963102300097496,33.00047947916137
18,2020-10-19,83.57326504226496,36.50630773216602,70.47305490154629
19,2020-10-20,78.77249292497794,127.6298515748845,-6.707821365967035
20,2020-10-21,106.59454965244647,87.86890535466931,48.990646467556374
21,2020-10-22,95.60476093305031,34.054283068010534,26.06983224364235
22,2020-10-23,86.9267685364336,62.65147034200754,47.22549599992505
23,2020-10-24,87.07062298926546,125.8285274113896,42.835353671806786
24,2020-10-25,80.51732240534818,57.933161445442686,21.7493142103096
25,2020-10-26,81.84538949190892,28.87599863013969,99.75139495233309
26,2020-10-27,80.5387461509864,67.46242063125396,44.731888874887154
27,2020-10-28,82.072008288142,40.32367014626488,43.51967614862026
28,2020-10-29,85.1884409361017,89.21119152132452,-1.1736663637489642
29,2020-10-30,83.68880840260277,33.409464835916374,30.509181828577148
30,2020-10-31,84.36605317295908,63.733029872287254,
31,2020-11-01,86.47085838024547,23.339614634574612,
32,2020-11-02,90.03585219329261,18.54274884514706,
33,2020-11-03,85.682123542652,30.70546365237436,
34,2020-11-04,82.1382201798063,53.201515379912955,
35,2020-11-05,79.59268242898014,55.38622218822389,
36,2020-11-06,76.31662292379417,24.93511311348857,
37,2020-11-07,75.68157361683285,108.07860582631315,
38,2020-11-08,78.36012014614681,126.47495838350756,
39,2020-11-09,74.05219606135165,46.48285962392446,
40,2020-11-10,76.31066510480872,58.84863842994173,
41,2020-11-11,80.31057865500111,,
42,2020-11-12,79.38234491561974,,
43,2020-11-13,84.93481409846919,,
44,2020-11-14,86.78088633253395,,
